item_id,penman_notation
B.34,"# ::tok Like a voodoo priest or something ?
(r / resemble-01~0
    :ARG2 (o / or~4
        :op1 (p / priest~3
            :mod (v / voodoo~2))
        :op2 (s / something~5))
    :polarity (a / amr-unknown~6))
"
B.35,"# ::tok Her dreams remain vague and inconclusive .
(r / remain-01~2
    :ARG1 (d / dream-01~1
        :ARG0 (s / she~0))
    :ARG3 (a / and~4
        :op1 (v / vague~3)
        :op2 (c / conclusive~5
            :polarity -~5)))
"
B.36,"# ::tok She seems awfully likable to me .
(s / seem-01~1
    :ARG1 (l / likable~3
        :degree (a / awful~2)
        :domain (s2 / she~0))
    :ARG2 (i / i~5))
"
B.37,"# ::tok The experience had shaken him emotionally .
(s / shake-01~3
    :ARG0 (e2 / experience-01~1)
    :ARG1 (h / he~4)
    :manner (e / emotion~5))
"
B.38,"# ::tok The bugs are eating me alive .
(e / eat-01~3
    :ARG0 (b / bug~1)
    :ARG1 (i / i~4)
    :manner (l / live-01~5
        :ARG0 i))
"
B.39,"# ::tok She looked up from her sewing .
(l / look-01~1
    :ARG0 (s / she~0)
    :direction (u / up~2)
    :source (m / manufacture-01~5
        :ARG0 s))
"
B.40,"# ::tok This truly was a depressing place .
(p / place~5
    :ARG0-of (d / depress-01~4
        :ARG1-of (t2 / true-01~1))
    :domain (t / this~0))
"
B.41,"# ::tok There was no moon , only starlight .
(c / contrast-01~4
    :ARG1 (m / moon~3
        :polarity -~2)
    :ARG2 (s / starlight~6
        :mod (o / only~5)))
"
B.42,"# ::tok He looked annoyed at being disturbed .
(l / look-02~1
    :ARG0 (h / he~0)
    :ARG1 (a / annoy-01~2
        :ARG0 (d / disturb-01~5
            :ARG1 h)
        :ARG1 h))
"
B.43,"# ::tok Could this all be a test ?
(p / possible-01~0
    :ARG1 (t / test-01~5
        :ARG1 (t2 / this~1
            :mod (a / all~2)))
    :polarity (a2 / amr-unknown~6))
"
B.44,"# ::tok They started hiking down the mountain .
(s / start-01~1
    :ARG0 (t / they~0)
    :ARG1 (h / hike-02~2
        :ARG3 (m / mountain~5)
        :direction (d / down~3)))
"
B.45,"# ::tok Cattle , wagons , horses , all going west .
(g / go-02~7
    :ARG0 (a2 / and~3
        :mod (a / all~6)
        :op1 (c / coal~0)
        :op2 W~2
        :op3 (h / horse~4))
    :ARG4 (w / west~8))
"
B.46,"# ::tok They bring peace in a conflict .
(b / bring-01~1
    :ARG0 (t / they~0)
    :ARG1 (p / peace~2)
    :location (c / conflict-01~5))
"
B.47,"# ::tok He pointed at the smaller circle .
(p / point-01~1
    :ARG0 (h2 / he~0)
    :ARG2 (c / circle~5
        :ARG1-of (h / have-degree-91~4
            :ARG2 (s / small~4)
            :ARG3 (m / more~4))))
"
B.48,"# ::tok Light from a fire burned inside .
(b / burn-01~4
    :ARG0 (l / light~0
        :source (f / fire~3))
    :ARG1 (i / inside~5))
"
B.49,"# ::tok This is so simple and easy .
(a / and~4
    :degree (s2 / so~2)
    :op1 (s / simple-02~3
        :ARG1 (t / this~0))
    :op2 (e / easy-05~5
        :ARG1 t))
"
B.50,"# ::tok However , they were much too large .
(c / contrast-01~0
    :ARG2 (h / have-degree-91~5
        :ARG1 (t / they~2)
        :ARG2 (l / large~6)
        :ARG3 (t2 / too~5
            :quant (m / much~4))))
"
B.51,"# ::tok Sweaty hair clinging to his forehead .
(c / cling-01~2
    :ARG0 (h / hair~1
        :mod (d / dumb~0))
    :ARG1 (f / forehead~5
        :part-of (h2 / he~4)))
"
B.52,"# ::tok Can we pursue him for robbery ?
(p / possible-01~0
    :ARG1 (p2 / pursue-01~2
        :ARG0 (w / we~1)
        :ARG1 (h / he~3)
        :ARG1-of (c / cause-01~4
            :ARG0 (r / rob-01~5
                :ARG0 h)))
    :polarity (a / amr-unknown~6))
"
B.53,"# ::tok Every now and then she stopped .
(s2 / stop-01~5
    :ARG0 (s / she~4)
    :frequency (r / rate-entity-91~0
        :ARG3 (n / now-and-then~1)))
"
B.54,"# ::tok Instead he dug a little deeper :
(i / instead-of-91~0
    :ARG1 (d2 / dig-01~2
        :ARG0 (h2 / he~1)
        :ARG1 (d / deep-02~5
            :ARG2-of (h / have-degree-91~5
                :ARG1 d2
                :ARG3 (m / more~5
                    :quant (l / little~4))))))
"
B.55,"# ::tok A gun fired into the air .
(f / fire-01~2
    :ARG1 (g / gun~1)
    :destination (a / air~5))
"
B.56,"# ::tok I cannot debate the truth fact .
(p / possible-01~1
    :ARG1 (d / debate-01~2
        :ARG0 (i / i~0)
        :ARG1 (f / fact~5
            :mod (t / truth~4)))
    :polarity -~1)
"
B.57,"# ::tok Could you loan it to me ?
(p / possible-01~0
    :ARG1 (l / loan-01~2
        :ARG0 (y / you~1)
        :ARG1 (i2 / it~3)
        :ARG2 (i / i~5))
    :polarity (a / amr-unknown~6))
"
B.58,"# ::tok Perhaps we can catch some fish .
(p / possible-01~0
    :ARG1 (c / catch-01~3
        :ARG0 (w / we~1)
        :ARG1 (f / fish~5
            :quant (s / some~4))))
"
B.59,"# ::tok There 'll be towels , soap , and all .
(a2 / and~4
    :op1 (t / tooth~3)
    :op2 (s / soap~5)
    :op3 (a / all~8))
"
B.60,"# ::tok Was he still in the laboratory ?
(h / he~1
    :location (l / laboratory~5)
    :mod (s / still~2)
    :polarity (a / amr-unknown~6))
"
B.61,"# ::tok He was a tall muscular man .
(m / man~5
    :domain (h / he~0)
    :mod (m2 / muscle~4)
    :mod (t / tall~3))
"
B.62,"# ::tok Its small head resembled a deer .
(r / resemble-01~3
    :ARG1 (h / head~2
        :mod (s / small~1)
        :part-of (i / it~0))
    :ARG2 (d / deer~5))
"
B.63,"# ::tok He finally hit the ball back .
(h2 / hit-01~2
    :ARG0 (h / he~0)
    :ARG1 (b2 / ball~4)
    :direction (b / back~5)
    :mod (f / final~1))
"
B.64,"# ::tok Already inflation was destabilizing financial markets .
(d / destabilize-01~3
    :ARG0 (i / inflation~1)
    :ARG1 (m / market~5
        :mod (f / financial~4))
    :time (a / already~0))
"
B.65,"# ::tok It was a cylindrical , rocky chamber .
(c / chamber~6
    :domain (i / it~0)
    :mod (m / mountain~5)
    :mod (c2 / cylindrical~3))
"
B.66,"# ::tok We ate it up like candy .
(e / eat-01~1
    :ARG0 (w / we~0)
    :ARG1 (i / it~2
        :ARG1-of (r / resemble-01~4
            :ARG2 (c / candy~5))))
"
B.67,"# ::tok The weather was warm and dry .
(w2 / weather~1
    :ARG1-of (w / warm-07~3)
    :ARG1-of (d / dry-02~5))
"
B.68,"# ::tok His hand descended towards the king .
(d / descend-01~2
    :ARG0 (h / hand~1
        :part-of (h3 / he~0))
    :direction (p / person~5
        :ARG0-of (h2 / have-org-role-91~5
            :ARG2 (k / king~5))))
"
B.69,"# ::tok He told her the truth unabashedly .
(t / tell-01~1
    :ARG0 (h / he~0)
    :ARG1 (t2 / truth~4)
    :ARG1-of (s / shame-02~5
        :ARG0 h
        :polarity -~5)
    :ARG2 (s2 / she~2))
"
B.70,"# ::tok His tea was black but sweetened .
(c / contrast-01~4
    :ARG1 (b / black-04~3
        :ARG1 (t / tea~1
            :poss (h / he~0)))
    :ARG2 (s / sweet-04~5
        :ARG1 t))
"
B.71,"# ::tok You got an elephant up there ?
(g / get-02~1
    :ARG0 (y / you~0)
    :ARG1 (e / elephant~3)
    :location (u / up~4
        :op1 (t / there~5))
    :polarity (a / amr-unknown~6))
"
B.72,"# ::tok A loud rumbling noise interrupted him .
(i / interrupt-01~4
    :ARG0 (n / noise~3
        :ARG0-of (r / rumble-01~2)
        :mod (l / loud~1))
    :ARG1 (h / he~5))
"
B.73,"# ::tok This lady was an outrageous girl .
(g / girl~5
    :ARG0-of (o / outrageous-02~4)
    :domain (l / lady~1
        :mod (t / this~0)))
"
B.74,"# ::tok He only doubted his own abilities .
(d / doubt-01~2
    :ARG0 (h / he~0)
    :ARG1 (c / capable-01~5
        :ARG1 h)
    :mod (o / only~1))
"
B.75,"# ::tok The first floor had retail shops .
(h / have-03~3
    :ARG0 (f / floor~2
        :ord (o / ordinal-entity~1
            :value 1~1))
    :ARG1 (s / shop~5
        :mod (r / retail-01~4)))
"
B.76,"# ::tok His demeanor was cynical and angry .
(a / and~4
    :op1 (c / cynical~3
        :domain (d / demeanor~1
            :poss (h / he~0)))
    :op2 (a2 / angry~5
        :domain h))
"
B.77,"# ::tok It does wonders for the soul .
(w / wonder~2
    :beneficiary (s / soul~5)
    :domain (i / it~0))
"
B.78,"# ::tok His organization did some fantastic work .
(w / work-01~5
    :quant (s / some~3)
    :ARG0 (o / organization~1
        :poss (h / he~0))
    :ARG1-of (f / fantastic-02~4))
"
B.79,"# ::tok It was a night to celebrate .
(n / night~3
    :purpose (c / celebrate-02~5)
    :domain (i / it~0))
"
B.80,"# ::tok Another driver waited in a car .
(w / wait-01~2
    :ARG1 (p / person~1
        :ARG0-of (d / drive-01~1)
        :mod (a / another~0))
    :location (c / car~5))
"
B.81,"# ::tok He is quite sick and weak .
(a / and~4
    :op1 (s / sick-05~3
        :ARG1 (h / he~0)
        :degree (q / quite~2))
    :op2 (w / weak-02~5
        :ARG1 h))
"
B.82,"# ::tok Was he still in the garden ?
(b / be-located-at-91~3
    :ARG1 (h / he~1)
    :ARG2 (g / garden~5)
    :mod (s / still~2)
    :polarity (a / amr-unknown~6))
"
B.83,"# ::tok We accept most proudly and eagerly .
(a / accept-01~1
    :ARG0 (w / we~0)
    :manner (a2 / and~4
        :op1 (p / pride-01~3
            :ARG1 a
            :ARG2-of (h / have-degree-91~2
                :ARG1 a
                :ARG3 (m / most~2)))
        :op2 (e / enthusiastic-03~5
            :ARG1 w))
    :manner e)
"
B.84,"# ::tok He truly was a skilled marksman .
(p / person~5
    :ARG0-of (s / shoot-01~5)
    :ARG1-of (t2 / true-01~1)
    :domain (h / he~0)
    :mod (s2 / skill~4)
    :part-of (t / team~5
        :name (n / name~5
            :op1 ""Republican""~5
            :op2 ""Party""~5)))
"
B.85,"# ::tok His skin was waxy and grey .
(a / and~4
    :op1 (w / waxy~3
        :domain (s / skin~1
            :part-of (h / he~0)))
    :op2 (g / gray-02~5
        :ARG1 s))
"
B.86,"# ::tok He has had a distinguished career .
(h / have-03~2
    :ARG0 (h2 / he~0)
    :ARG1 (c / career~5
        :ARG1-of (d / distinguish-01~4)))
"
B.87,"# ::tok Strangely , I did not feel nervous .
(f / feel-01~5
    :ARG0 (i / i~2)
    :ARG1 (n / nervous-01~6
        :ARG1 i)
    :manner (s / strange~0)
    :polarity -~4)
"
B.88,"# ::tok There is salad in that bowl .
(s / salad~2
    :location (b / bowl~5
        :mod (t / that~4)))
"
B.89,"# ::tok Carefully though , he packed them away .
(p / pack-01~4
    :ARG0 (h2 / he~3)
    :ARG1 (t / they~5)
    :manner (c / care-04~0
        :ARG0 h2
        :ARG1-of (h / have-concession-91~1))
    :mod (a / away~6))
"
B.90,"# ::tok Did you have a medical examination ?
(e / examine-01~5
    :ARG0 (m / medicine~4)
    :ARG1 (y / you~1)
    :polarity (a / amr-unknown~6))
"
B.91,"# ::tok And tomorrow would be another day .
(a / and~0
    :op2 (d / day~5
        :domain (t / tomorrow~1)
        :mod (a2 / another~4)))
"
B.92,"# ::tok Is it because of the drugs ?
(c / cause-01~2
    :ARG0 (d / drug~5)
    :polarity (a / amr-unknown~6))
"
B.93,"# ::tok His mind sought a rational explanation .
(s / seek-01~2
    :ARG0 (m / mind~1
        :poss (h / he~0))
    :ARG1 (e / explain-01~5
        :mod (r / rational~4)))
"
B.94,"# ::tok She did this intentionally , he thought .
(t / think-01~6
    :ARG0 (h / he~5)
    :ARG1 (d / do-02~1
        :ARG0 (s / she~0)
        :ARG1 (t2 / this~2)
        :ARG1-of (i / intend-01~3
            :ARG0 s)))
"
B.95,"# ::tok She felt guilty about her deception .
(f / feel-01~1
    :ARG0 (s / she~0)
    :ARG1 (g / guilty-01~2
        :ARG1 s
        :ARG2 (d / deceive-01~5
            :ARG0 s)))
"
B.96,"# ::tok He might need the knife again .
(p / possible-01~1
    :ARG1 (n / need-01~2
        :ARG0 (h / he~0)
        :ARG1 (k / knife~4)
        :mod (a / again~5)))
"
B.97,"# ::tok Without warning cameras started to flash .
(s / start-01~3
    :ARG0 (c / camera~2)
    :ARG1 (f / flash-01~5
        :ARG1 c)
    :manner (w / warn-01~1
        :polarity -~0))
"
B.98,"# ::tok Look at that painting over there .
(l / look-01~0
    :ARG0 (y / you~0)
    :ARG1 (t2 / thing~2
        :ARG1-of (p / paint-02~3)
        :location (t / there~5))
    :mode imperative~0)
"
B.99,"# ::tok The brick walls extended high up .
(e / extend-01~3
    :ARG1 (w / wall~2
        :consist-of (b / brick~1))
    :ARG4 (h / high-02~4
        :direction (u / up~5)))
"
B.100,"# ::tok He seemed quite unconcerned and relaxed .
(s / seem-01~1
    :ARG1 (a / and~4
        :op1 (c / concern-01~3
            :ARG1 (h / he~0)
            :degree h
            :polarity -~2)
        :op2 (r / relax-01~5
            :ARG1 h))
    :rel (q / quite~2))
"
B.101,"# ::tok What could frighten them this badly ?
(p / possible-01~1
    :ARG1 (f / frighten-01~2
        :ARG0 (a / amr-unknown~0)
        :ARG1 (t / they~3)
        :ARG1-of (b / bad-05~5
            :degree (t2 / this~4))))
"
B.102,"# ::tok His sorrow gave way to anger .
(g / give-01~2
    :ARG0 (s / sorrow-01~1
        :ARG0 (h / he~0))
    :ARG1 (a / anger-01~5
        :ARG1 h))
"
B.103,"# ::tok Take me to a computer terminal .
(t / take-01~0
    :ARG0 (y / you~0)
    :ARG1 (i / i~1)
    :ARG3 (t2 / terminal~5
        :mod (c / computer~4))
    :mode imperative~0)
"
B.104,"# ::tok He wanted to investigate the victim .
(w / want-01~1
    :ARG0 (h / he~0)
    :ARG1 (i / investigate-01~3
        :ARG0 h
        :ARG1 (v / victim~5)))
"
B.105,"# ::tok We played out the poker hand .
(p / play-out-03~1
    :ARG0 (w / we~0)
    :ARG1 (h / hand~5
        :mod (p2 / poker~4)))
"
B.106,"# ::tok You are quite smart and attentive .
(a / and~4
    :degree (q / quite~2)
    :op1 (s / smart-06~3
        :ARG1 (y / you~0))
    :op2 (a2 / attend-02~5
        :ARG0 y))
"
B.107,"# ::tok The movie was a romantic comedy .
(c / comedy~5
    :ARG0-of (r / romantic-03~4)
    :domain (m / movie~1))
"
B.108,"# ::tok There was nothing but political commentary .
(c / comment-01~5
    :ARG1 (p / politics~4)
    :mod (n / nothing-but~2))
"
B.109,"# ::tok Light is made up of photons .
(m / make-up-10~2
    :ARG1 (l / light~0)
    :mod (f / fuck~5))
"
B.110,"# ::tok You 're one of our top students .
(i / include-91~2
    :ARG1 (y / you~0)
    :ARG2 (p / person~6
        :ARG0-of (s / study-01~6)
        :mod (t / top~5)
        :poss (w / we~4)))
"
B.111,"# ::tok Please allow me to deliver it .
(a / allow-01~1
    :ARG0 (y / you~0)
    :ARG1 (d / deliver-01~4
        :ARG0 (i / i~2)
        :ARG1 (i2 / it~5))
    :mode imperative~0
    :polite +~0)
"
B.112,"# ::tok The judge spoke , breaking the silence .
(s2 / speak-01~2
    :ARG0 (p / person~1
        :ARG0-of (j / judge-01~1))
    :ARG0-of (b / break-01~4
        :ARG1 (s / silence~6)))
"
B.113,"# ::tok She let out a choked laugh .
(l2 / let-01~1
    :ARG0 (s / she~0)
    :ARG1 (l / laugh-01~5
        :ARG0 s
        :manner (c / choke-01~4)))
"
B.114,"# ::tok The seemingly impossible can be attained .
(p2 / possible-01~3
    :ARG1 (a / attain-01~5
        :ARG1 (p / possible-01~2
            :ARG1-of (s / seem-01~1)
            :polarity -~2))
    :rel (t / thing~0))
"
B.115,"# ::tok He stopped at the bedroom door .
(s / stop-01~1
    :ARG0 (h / he~0)
    :location (d / door~5
        :part-of (b / bedroom~4)))
"
B.116,"# ::tok She was inside a magnificent castle .
(b / be-located-at-91~2
    :ARG1 (s / she~0)
    :ARG2 (i / inside~2
        :op1 (c / castle~5
            :mod (m / magnificent~4))))
"
B.117,"# ::tok Besides , it would be terribly unsafe .
(s / safe-01~6
    :ARG0 (i / it~2)
    :degree (t / terribly~5)
    :mod (b / besides~0)
    :polarity -~4)
"
B.118,"# ::tok Her wrist supported many gold bangles .
(s2 / support-01~2
    :ARG0 (w / wrist~1
        :part-of (s / she~0))
    :ARG1 (e / earring~5
        :quant (m / many~3)
        :consist-of (g / gold~4)))
"
B.119,"# ::tok I feel the same way sometimes .
(f / feel-01~1
    :ARG0 (i / i~0)
    :ARG1 (w / way~4
        :ARG1-of (s / same-01~3))
    :frequency (s2 / sometimes~5))
"
B.120,"# ::tok People need to respect the law .
(n / need-01~1
    :ARG0 (p / person~0)
    :ARG1 (r / respect-01~3
        :ARG0 p
        :ARG1 (l / law~5)))
"
B.121,"# ::tok The hairs on my skin rose .
(r / rise-01~5
    :ARG1 (h / hair~1
        :location (s / skin~4
            :part-of (i / i~3))))
"
B.122,"# ::tok A large band played folk tunes .
(p / play-11~3
    :ARG0 (b / band~2
        :mod (l / large~1))
    :ARG1 (s / song~5
        :mod (f / folk~4)))
"
B.123,"# ::tok Your leg muscles will also ache .
(a / ache-01~5
    :ARG1 (m / muscle~2
        :mod (l / leg~1
            :part-of (y / you~0)))
    :mod (a2 / also~4))
"
B.124,"# ::tok After that , no others remained intact .
(r / remain-01~5
    :ARG1 (o / other~4
        :polarity -~3)
    :ARG3 (i / intact~6)
    :time (a / after~0
        :op1 (t / that~1)))
"
B.125,"# ::tok Many soldiers served in his army .
(s / serve-01~2
    :ARG0 (s2 / soldier~1
        :quant (m / many~0))
    :ARG2 (a / army~5
        :poss (h / he~4)))
"
B.126,"# ::tok It seemed to calm his anxiety .
(s / seem-01~1
    :ARG1 (c / calm-down-02~3
        :ARG0 (i / it~0)
        :ARG1 (a / anxiety~5
            :poss (h / he~4))))
"
B.127,"# ::tok I need it to impress her .
(n / need-01~1
    :purpose (i2 / impress-01~4
        :ARG0 (i / i~0)
        :ARG1 (s / she~5))
    :ARG0 i
    :ARG1 (i3 / it~2))
"
B.128,"# ::tok My assistant is bringing them out .
(b / bring-01~3
    :ARG0 (p / person~1
        :ARG0-of (a / assist-01~1)
        :poss (i / i~0))
    :ARG1 (t / they~4)
    :ARG2 (o / out~5))
"
B.129,"# ::tok Read me the book , then decide .
(a / and~4
    :op1 (r / read-01~0
        :ARG0 (y / you~0)
        :ARG1 (b / book~3)
        :ARG2 (i / i~1)
        :mode imperative~0)
    :op2 (d / decide-01~6
        :ARG0 y
        :mode imperative~7
        :time (t / then~5)))
"
B.130,"# ::tok Each has its own elected officials .
(h / have-03~1
    :ARG0 (e / each~0)
    :ARG1 (p / person~5
        :ARG0-of (h2 / have-org-role-91~5
            :ARG2 (o / official~5))
        :ARG1-of (e2 / elect-01~4)))
"
B.131,"# ::tok A voice came over his radio .
(c / come-01~2
    :ARG1 (v / voice~1)
    :path (o / over~3
        :op1 (r / radio~5
            :poss (h / he~4))))
"
B.132,"# ::tok What help can you possibly need ?
(p / possible-01~2
    :ARG1 (n / need-01~5
        :ARG0 (y / you~3)
        :ARG1 (h / help-01~1
            :ARG1 y
            :ARG2 (a / amr-unknown~0))))
"
B.133,"# ::tok He was bleeding from the stomach .
(b / bleed-01~2
    :ARG0 (s / stomach~5)
    :ARG1 (h / he~0))
"
B.134,"# ::tok She was wearing a long dress .
(w / wear-01~2
    :ARG0 (s / she~0)
    :ARG1 (d / dress~5
        :ARG1-of (l / long-03~4)))
"
B.135,"# ::tok A photo appears on the screen .
(a / appear-01~2
    :ARG1 (p / photo~1)
    :location (s / screen~5))
"
B.136,"# ::tok The liquid was indeed fresh water .
(w / water~5
    :ARG1-of (f / fresh-04~4)
    :domain (l / liquid~1)
    :mod (i / indeed~3))
"
B.137,"# ::tok This is the force field parameter .
(p / parameter~5
    :domain (t / this~0)
    :mod (f / field~4
        :mod (f2 / force~3)))
"
B.138,"# ::tok There is no brain function left .
(l / leave-17~5
    :ARG1 (f / function-01~4
        :ARG0 (b / brain~3)
        :polarity -~2))
"
B.139,"# ::tok Many villages survive along the coast .
(s / survive-01~2
    :ARG0 (v / village~1
        :quant (m / many~0))
    :location (a / along~3
        :op1 (c / coast~5)))
"
B.140,"# ::tok Consequences to us could prove fatal .
(p / possible-01~3
    :ARG1 (p2 / prove-01~4
        :ARG1 (f / fatal~5
            :domain (c / consequence-03~0
                :ARG1 (w / we~2)))))
"
B.141,"# ::tok The pastor proclaimed to the congregation .
(p3 / proclaim-01~2
    :ARG0 (p2 / person~1
        :ARG0-of (h / have-org-role-91~1
            :ARG2 (p / pastor~1)))
    :ARG2 (c / congregation~5))
"
B.142,"# ::tok Their relationship took off from there .
(t / take-off-33~2
    :ARG0 (t2 / there~5)
    :ARG1 (r / relation-03~1
        :ARG0 (t3 / they~0)))
"
B.143,"# ::tok I can see the oak tree .
(p / possible-01~1
    :ARG1 (s / see-01~2
        :ARG0 (i / i~0)
        :ARG1 (t / tree~5
            :mod (o / oak~4))))
"
B.144,"# ::tok I studied and became a lawyer .
(a / and~2
    :op1 (s / study-01~1
        :ARG0 (i / i~0))
    :op2 (b / become-01~3
        :ARG1 i
        :ARG2 (l / lawyer~5)))
"
B.145,"# ::tok He inspected it with obvious satisfaction .
(i / inspect-01~1
    :ARG0 (h / he~0)
    :ARG1 (i2 / it~2)
    :manner (s / satisfy-01~5
        :ARG1 h
        :ARG1-of (o / obvious-01~4)))
"
